prompt_tokens,output_tokens,tokens_total,domain,latency_requirement_ms,quality_req_tier,quality_requirement,log_tokens_total,strict_latency,domain_penalty,label_model
459,360,819,qa,3000,4,0.725,6.709304340258298,0,0.03,Claude 3.6S
1256,1030,2286,qa,3000,2,0.475,7.734996194022781,0,0.03,Claude 3.6S
1802,675,2477,qa,800,2,0.475,7.815207062189088,0,0.03,Claude 3.6S
9712,3000,12712,code,1500,3,0.6,9.450380370950121,0,0.07,Claude 3.6S
1137,973,2110,chat,6000,1,0.35,7.65491704784832,0,0.0,Claude 3.6S
51,252,303,qa,800,5,0.85,5.717027701406222,0,0.03,Claude 3.6S
385,271,656,reasoning,1500,1,0.35,6.48768401848461,0,0.08,Claude 3.6S
259,276,535,chat,1500,1,0.35,6.284134161070802,0,0.0,Claude 3.6S
303,319,622,chat,800,5,0.85,6.434546518787453,0,0.0,Claude 3.6S
8003,3000,11003,writing,800,5,0.85,9.306014122044465,0,0.04,Gemini 3
213,111,324,reasoning,3000,3,0.6,5.783825182329737,0,0.08,Claude 3.6S
343,320,663,writing,400,3,0.6,6.498282149476434,1,0.04,Claude 3.6S
1041,748,1789,code,800,1,0.35,7.489970898834801,0,0.07,Claude 3.6S
1489,950,2439,qa,3000,1,0.35,7.799753318287247,0,0.03,Claude 3.6S
216,71,287,code,200,2,0.475,5.662960480135946,1,0.07,Gemini 3
6050,2976,9026,chat,3000,4,0.725,9.107975365298154,0,0.0,Claude 3.6S
256,167,423,writing,6000,4,0.725,6.049733455231958,0,0.04,Claude 3.6S
1817,1186,3003,chat,1500,3,0.6,8.007700012884024,0,0.0,Claude 3.6S
477,418,895,qa,800,2,0.475,6.79794041297493,0,0.03,Claude 3.6S
693,353,1046,writing,3000,4,0.725,6.953684210870537,0,0.04,Claude 3.6S
392,241,633,writing,800,2,0.475,6.452048954437226,0,0.04,Claude 3.6S
473,408,881,qa,800,4,0.725,6.782192056006791,0,0.03,Claude 3.6S
2221,641,2862,qa,800,1,0.35,7.959625305098115,0,0.03,Claude 3.6S
9313,3000,12313,code,400,2,0.475,9.418492105471156,1,0.07,Gemini 3
9208,3000,12208,reasoning,400,1,0.35,9.409928663668856,1,0.08,Gemini 3
1719,946,2665,writing,1500,1,0.35,7.888334500738654,0,0.04,Claude 3.6S
371,144,515,chat,800,5,0.85,6.246106765481563,0,0.0,Claude 3.6S
99,130,229,qa,800,2,0.475,5.438079308923196,0,0.03,Claude 3.6S
468,387,855,writing,400,1,0.35,6.752270376141742,1,0.04,Claude 3.6S
362,272,634,chat,1500,2,0.475,6.453624998892692,0,0.0,Claude 3.6S
6120,3000,9120,reasoning,3000,3,0.6,9.118334726180159,0,0.08,Claude 3.6S
356,239,595,chat,1500,5,0.85,6.390240667065349,0,0.0,Claude 3.6S
260,311,571,code,1500,2,0.475,6.349138991379798,0,0.07,Claude 3.6S
116,92,208,chat,1500,1,0.35,5.342334251964811,0,0.0,Claude 3.6S
99,264,363,chat,3000,4,0.725,5.8971538676367405,0,0.0,Claude 3.6S
283,342,625,chat,6000,1,0.35,6.439350371100098,0,0.0,Claude 3.6S
496,299,795,qa,3000,1,0.35,6.679599185844383,0,0.03,Claude 3.6S
1950,546,2496,writing,3000,2,0.475,7.822845290279773,0,0.04,Claude 3.6S
1324,935,2259,qa,800,4,0.725,7.723120092266331,0,0.03,Claude 3.6S
159,242,401,writing,800,1,0.35,5.996452088619021,0,0.04,Claude 3.6S
2135,1584,3719,qa,800,3,0.6,8.221478947267192,0,0.03,Claude 3.6S
1214,685,1899,code,1500,1,0.35,7.549609165154531,0,0.07,Claude 3.6S
225,263,488,writing,400,2,0.475,6.1923624894748714,1,0.04,Claude 3.6S
2095,1488,3583,code,800,2,0.475,8.18423477409482,0,0.07,Claude 3.6S
4330,1883,6213,chat,1500,2,0.475,8.734560089952993,0,0.0,Claude 3.6S
884,590,1474,writing,3000,2,0.475,7.29641326877392,0,0.04,Claude 3.6S
20,252,272,writing,400,2,0.475,5.60947179518496,1,0.04,Claude 3.6S
5898,3000,8898,qa,1500,3,0.6,9.093694189856862,0,0.03,Claude 3.6S
4121,1462,5583,reasoning,1500,2,0.475,8.627660644442209,0,0.08,Claude 3.6S
42,136,178,code,800,3,0.6,5.187385805840755,0,0.07,Claude 3.6S
469,194,663,qa,800,3,0.6,6.498282149476434,0,0.03,Claude 3.6S
2178,480,2658,code,3000,2,0.475,7.88570539124302,0,0.07,Claude 3.6S
750,353,1103,chat,400,5,0.85,7.00669522683704,1,0.0,Gemini 3
423,300,723,qa,3000,3,0.6,6.584791392385716,0,0.03,Claude 3.6S
605,610,1215,code,800,5,0.85,7.103322062526112,0,0.07,Claude 3.6S
233,192,425,qa,400,2,0.475,6.05443934626937,1,0.03,Claude 3.6S
7584,3000,10584,chat,400,4,0.725,9.267193183568965,1,0.0,Gemini 3
268,343,611,reasoning,1500,4,0.725,6.416732282512326,0,0.08,Claude 3.6S
283,244,527,qa,1500,1,0.35,6.269096283706261,0,0.03,Claude 3.6S
172,199,371,qa,200,2,0.475,5.918893854273146,1,0.03,Gemini 3
98,314,412,chat,1500,2,0.475,6.023447592961032,0,0.0,Claude 3.6S
6447,3000,9447,writing,1500,5,0.85,9.153558357877198,0,0.04,Gemini 3
106,186,292,qa,800,2,0.475,5.680172609017067,0,0.03,Claude 3.6S
379,183,562,chat,800,4,0.725,6.333279628139691,0,0.0,Claude 3.6S
3776,2604,6380,chat,1500,2,0.475,8.761080103868347,0,0.0,Claude 3.6S
432,476,908,chat,800,2,0.475,6.812345094177479,0,0.0,Claude 3.6S
347,234,581,qa,800,1,0.35,6.366470447731437,0,0.03,Claude 3.6S
1104,794,1898,qa,1500,2,0.475,7.549082710812286,0,0.03,Claude 3.6S
108,237,345,chat,800,4,0.725,5.846438775057724,0,0.0,Claude 3.6S
8152,3000,11152,qa,800,2,0.475,9.319463798994537,0,0.03,Gemini 3
588,276,864,chat,400,4,0.725,6.762729506931879,1,0.0,Claude 3.6S
243,276,519,writing,1500,2,0.475,6.253828811575473,0,0.04,Claude 3.6S
1955,1477,3432,chat,3000,5,0.85,8.141189793457691,0,0.0,Claude 3.6S
535,429,964,code,400,3,0.6,6.872128101338986,1,0.07,Gemini 3
1597,1145,2742,qa,400,2,0.475,7.916807490937603,1,0.03,Gemini 3
287,283,570,chat,400,2,0.475,6.34738920965601,1,0.0,Claude 3.6S
424,401,825,chat,1500,3,0.6,6.716594773520978,0,0.0,Claude 3.6S
281,215,496,chat,3000,4,0.725,6.208590026096629,0,0.0,Claude 3.6S
471,512,983,qa,3000,3,0.6,6.891625897052253,0,0.03,Claude 3.6S
176,345,521,chat,1500,2,0.475,6.257667587882638,0,0.0,Claude 3.6S
9197,3000,12197,qa,1500,3,0.6,9.409027282856401,0,0.03,Claude 3.6S
898,437,1335,qa,400,1,0.35,7.197435354096591,1,0.03,Gemini 3
444,482,926,chat,1500,1,0.35,6.831953565565855,0,0.0,Claude 3.6S
1236,729,1965,writing,800,4,0.725,7.583756300707112,0,0.04,Claude 3.6S
77,140,217,code,200,2,0.475,5.384495062789089,1,0.07,Gemini 3
483,521,1004,code,800,3,0.6,6.912742820493176,0,0.07,Claude 3.6S
391,244,635,code,200,4,0.725,6.455198563340122,1,0.07,Gemini 3
5872,3000,8872,qa,800,5,0.85,9.090768236835338,0,0.03,Gemini 3
147,287,434,chat,1500,3,0.6,6.075346031088684,0,0.0,Claude 3.6S
2447,1102,3549,writing,1500,1,0.35,8.174702882469461,0,0.04,Claude 3.6S
7525,2836,10361,writing,1500,4,0.725,9.245900547374733,0,0.04,Claude 3.6S
374,356,730,code,800,1,0.35,6.594413459749778,0,0.07,Claude 3.6S
1006,302,1308,chat,200,3,0.6,7.177018765909899,1,0.0,Gemini 3
77,194,271,qa,1500,2,0.475,5.605802066295997,0,0.03,Claude 3.6S
1129,548,1677,chat,1500,2,0.475,7.425357887027151,0,0.0,Claude 3.6S
2112,832,2944,writing,3000,3,0.6,7.987864096085687,0,0.04,Claude 3.6S
684,688,1372,writing,1500,2,0.475,7.224753405767971,0,0.04,Claude 3.6S
9484,3000,12484,qa,800,4,0.725,9.432283202713874,0,0.03,Gemini 3
1962,1543,3505,chat,1500,3,0.6,8.16223106548118,0,0.0,Claude 3.6S
4775,1199,5974,writing,6000,2,0.475,8.695339376799712,0,0.04,Claude 3.6S
215,101,316,chat,3000,2,0.475,5.75890177387728,0,0.0,Claude 3.6S
1237,473,1710,chat,200,4,0.725,7.444833273892193,1,0.0,Gemini 3
84,238,322,code,400,1,0.35,5.777652323222656,1,0.07,Claude 3.6S
104,129,233,chat,800,1,0.35,5.455321115357701,0,0.0,Claude 3.6S
74,200,274,writing,3000,1,0.35,5.616771097666571,0,0.04,Claude 3.6S
1875,1368,3243,writing,800,4,0.725,8.084562415235304,0,0.04,Claude 3.6S
1772,1131,2903,writing,6000,2,0.475,7.973844375944687,0,0.04,Claude 3.6S
490,341,831,code,800,2,0.475,6.723832440821209,0,0.07,Claude 3.6S
2733,1773,4506,chat,3000,5,0.85,8.413387022690648,0,0.0,Gemini 3
470,407,877,qa,800,2,0.475,6.777646593635116,0,0.03,Claude 3.6S
109,129,238,code,3000,2,0.475,5.47646355193151,0,0.07,Claude 3.6S
1046,867,1913,writing,400,5,0.85,7.5569505720129,1,0.04,Gemini 3
1193,683,1876,writing,800,2,0.475,7.537430036586509,0,0.04,Claude 3.6S
577,310,887,code,1500,2,0.475,6.78897174299217,0,0.07,Claude 3.6S
217,279,496,reasoning,200,1,0.35,6.208590026096629,1,0.08,Gemini 3
369,301,670,qa,1500,4,0.725,6.508769136971681,0,0.03,Claude 3.6S
1767,1226,2993,qa,6000,3,0.6,8.004365564979574,0,0.03,Claude 3.6S
293,394,687,reasoning,800,5,0.85,6.5337888379333435,0,0.08,Gemini 3
626,374,1000,reasoning,800,2,0.475,6.90875477931522,0,0.08,Claude 3.6S
2105,641,2746,chat,1500,1,0.35,7.918264686095274,0,0.0,Claude 3.6S
456,293,749,reasoning,800,4,0.725,6.620073206530356,0,0.08,Claude 3.6S
1523,487,2010,chat,400,3,0.6,7.606387389772652,1,0.0,Gemini 3
327,306,633,qa,800,2,0.475,6.452048954437226,0,0.03,Claude 3.6S
1064,800,1864,writing,400,1,0.35,7.5310163320779155,1,0.04,Gemini 3
2443,1659,4102,writing,200,3,0.6,8.319473692442186,1,0.04,Gemini 3
444,224,668,code,6000,1,0.35,6.505784060128228,0,0.07,Claude 3.6S
1835,627,2462,code,800,3,0.6,7.809135398120538,0,0.07,Claude 3.6S
2045,1236,3281,qa,1500,4,0.725,8.096208271650037,0,0.03,Claude 3.6S
1160,367,1527,writing,1500,3,0.6,7.331714969726465,0,0.04,Claude 3.6S
297,199,496,chat,6000,2,0.475,6.208590026096629,0,0.0,Claude 3.6S
4992,3000,7992,code,3000,3,0.6,8.98632143762602,0,0.07,Claude 3.6S
6497,2620,9117,qa,200,1,0.35,9.118005760773386,1,0.03,Gemini 3
282,254,536,code,1500,1,0.35,6.285998094508864,0,0.07,Claude 3.6S
7858,2872,10730,writing,800,2,0.475,9.280892027927127,0,0.04,Gemini 3
2228,1625,3853,chat,1500,3,0.6,8.256866848974312,0,0.0,Claude 3.6S
286,268,554,qa,3000,2,0.475,6.318968113746434,0,0.03,Claude 3.6S
1816,1232,3048,qa,1500,1,0.35,8.022568946988255,0,0.03,Claude 3.6S
86,132,218,chat,800,2,0.475,5.389071729816501,0,0.0,Claude 3.6S
2234,689,2923,writing,800,1,0.35,7.980707820869669,0,0.04,Claude 3.6S
502,322,824,reasoning,1500,5,0.85,6.715383386334681,0,0.08,Gemini 3
568,499,1067,writing,400,1,0.35,6.9735430195201396,1,0.04,Gemini 3
352,214,566,chat,800,3,0.6,6.340359303727752,0,0.0,Claude 3.6S
2392,812,3204,code,800,4,0.725,8.07246736935477,0,0.07,Claude 3.6S
2334,955,3289,code,800,3,0.6,8.098642843759418,0,0.07,Claude 3.6S
3506,897,4403,chat,800,2,0.475,8.39026849784257,0,0.0,Claude 3.6S
185,150,335,chat,800,2,0.475,5.817111159963204,0,0.0,Claude 3.6S
1142,666,1808,qa,1500,2,0.475,7.500529485395295,0,0.03,Claude 3.6S
1242,714,1956,writing,800,4,0.725,7.579167967396076,0,0.04,Claude 3.6S
383,244,627,chat,3000,2,0.475,6.4425401664681985,0,0.0,Claude 3.6S
97,137,234,qa,1500,1,0.35,5.459585514144159,0,0.03,Claude 3.6S
413,433,846,chat,1500,4,0.725,6.741700694652054,0,0.0,Claude 3.6S
125,110,235,reasoning,800,3,0.6,5.46383180502561,0,0.08,Claude 3.6S
144,149,293,chat,200,2,0.475,5.683579767338681,1,0.0,Gemini 3
413,320,733,qa,800,2,0.475,6.598509028614515,0,0.03,Claude 3.6S
271,267,538,chat,200,2,0.475,6.289715570908997,1,0.0,Gemini 3
1894,927,2821,code,400,2,0.475,7.945201132412759,1,0.07,Gemini 3
50,133,183,chat,6000,2,0.475,5.214935757608986,0,0.0,Claude 3.6S
1760,511,2271,writing,400,1,0.35,7.7284157798410416,1,0.04,Gemini 3
33,207,240,reasoning,1500,1,0.35,5.484796933490655,0,0.08,Claude 3.6S
130,244,374,code,1500,3,0.6,5.926926025970411,0,0.07,Claude 3.6S
586,405,991,code,1500,3,0.6,6.899723107284872,0,0.07,Claude 3.6S
367,244,611,chat,800,3,0.6,6.416732282512326,0,0.0,Claude 3.6S
871,379,1250,qa,400,2,0.475,7.131698510466911,1,0.03,Gemini 3
60,139,199,reasoning,1500,4,0.725,5.298317366548036,0,0.08,Claude 3.6S
2035,1081,3116,code,3000,2,0.475,8.044626279767337,0,0.07,Claude 3.6S
2261,1280,3541,code,200,1,0.35,8.17244681834278,1,0.07,Gemini 3
427,336,763,chat,3000,5,0.85,6.638567789166521,0,0.0,Claude 3.6S
2273,967,3240,chat,800,5,0.85,8.083637203141548,0,0.0,Claude 3.6S
1316,1076,2392,qa,3000,4,0.725,7.780303087908373,0,0.03,Claude 3.6S
54,197,251,chat,3000,3,0.6,5.529429087511423,0,0.0,Claude 3.6S
9472,2602,12074,writing,400,4,0.725,9.398892478520773,1,0.04,Gemini 3
478,443,921,chat,400,4,0.725,6.826545223556594,1,0.0,Claude 3.6S
361,151,512,qa,6000,2,0.475,6.240275845170769,0,0.03,Claude 3.6S
956,481,1437,writing,400,2,0.475,7.2710085382809915,1,0.04,Gemini 3
1843,1015,2858,writing,6000,1,0.35,7.958227192322312,0,0.04,Claude 3.6S
1585,661,2246,code,400,2,0.475,7.717351272185329,1,0.07,Gemini 3
4434,911,5345,code,1500,3,0.6,8.584103896698863,0,0.07,Claude 3.6S
172,279,451,reasoning,6000,1,0.35,6.113682179832231,0,0.08,Claude 3.6S
2192,1503,3695,code,200,4,0.725,8.215006432761575,1,0.07,Gemini 3
1665,1036,2701,chat,400,4,0.725,7.901747518520144,1,0.0,Gemini 3
7531,3000,10531,qa,800,3,0.6,9.2621735206162,0,0.03,Gemini 3
1696,780,2476,code,1500,2,0.475,7.814803429489359,0,0.07,Claude 3.6S
1418,524,1942,qa,1500,2,0.475,7.571988449377439,0,0.03,Claude 3.6S
266,214,480,chat,1500,2,0.475,6.175867270105761,0,0.0,Claude 3.6S
2108,1137,3245,writing,400,3,0.6,8.085178748074537,1,0.04,Gemini 3
2043,488,2531,qa,800,4,0.725,7.836764783264067,0,0.03,Claude 3.6S
4703,2645,7348,chat,1500,1,0.35,8.90231952852887,0,0.0,Claude 3.6S
1182,428,1610,chat,200,2,0.475,7.384610383176974,1,0.0,Gemini 3
2127,645,2772,chat,3000,3,0.6,7.927685045615778,0,0.0,Claude 3.6S
7937,1632,9569,writing,800,4,0.725,9.166388484447,0,0.04,Gemini 3
151,323,474,qa,200,5,0.85,6.163314804034641,1,0.03,Gemini 3
1844,446,2290,chat,400,4,0.725,7.736743682453495,1,0.0,Gemini 3
141,243,384,qa,800,4,0.725,5.953243334287784,0,0.03,Claude 3.6S
536,417,953,chat,1500,3,0.6,6.860663671448286,0,0.0,Claude 3.6S
280,211,491,chat,6000,3,0.6,6.198478716492308,0,0.0,Claude 3.6S
142,126,268,writing,3000,4,0.725,5.594711379601839,0,0.04,Claude 3.6S
1446,449,1895,writing,400,2,0.475,7.547501682814967,1,0.04,Gemini 3
358,122,480,code,3000,1,0.35,6.175867270105761,0,0.07,Claude 3.6S
291,226,517,code,3000,1,0.35,6.249975242259483,0,0.07,Claude 3.6S
49,261,310,code,200,3,0.6,5.739792912179234,1,0.07,Gemini 3
562,222,784,code,800,2,0.475,6.665683717782408,0,0.07,Claude 3.6S
402,374,776,code,800,3,0.6,6.655440350367647,0,0.07,Claude 3.6S
2491,770,3261,chat,800,2,0.475,8.090095783180958,0,0.0,Claude 3.6S
151,249,400,writing,400,5,0.85,5.993961427306569,1,0.04,Claude 3.6S
112,230,342,reasoning,200,3,0.6,5.8377304471659395,1,0.08,Gemini 3
772,435,1207,qa,3000,3,0.6,7.09672137849476,0,0.03,Claude 3.6S
1265,289,1554,qa,3000,1,0.35,7.349230824613334,0,0.03,Claude 3.6S
1036,835,1871,chat,800,4,0.725,7.534762657037537,0,0.0,Claude 3.6S
1043,656,1699,writing,3000,2,0.475,7.438383530044307,0,0.04,Claude 3.6S
338,186,524,chat,1500,2,0.475,6.263398262591624,0,0.0,Claude 3.6S
1542,922,2464,chat,200,2,0.475,7.80994708647679,1,0.0,Gemini 3
1674,1038,2712,code,3000,1,0.35,7.905810312658931,0,0.07,Claude 3.6S
480,351,831,chat,800,1,0.35,6.723832440821209,0,0.0,Claude 3.6S
2313,656,2969,code,3000,2,0.475,7.996317231796745,0,0.07,Claude 3.6S
2134,1401,3535,chat,800,2,0.475,8.170751423757533,0,0.0,Claude 3.6S
229,257,486,reasoning,200,5,0.85,6.18826412308259,1,0.08,Gemini 3
6946,1947,8893,qa,3000,5,0.85,9.093132171070641,0,0.03,Gemini 3
332,339,671,code,200,2,0.475,6.51025834052315,1,0.07,Gemini 3
311,366,677,writing,400,1,0.35,6.519147287940395,1,0.04,Claude 3.6S
981,761,1742,qa,3000,1,0.35,7.463363045520021,0,0.03,Claude 3.6S
227,229,456,writing,800,1,0.35,6.124683390894204,0,0.04,Claude 3.6S
2463,1594,4057,code,1500,4,0.725,8.30844552038576,0,0.07,Claude 3.6S
403,273,676,writing,1500,4,0.725,6.517671272912275,0,0.04,Claude 3.6S
346,264,610,writing,400,2,0.475,6.415096959171595,1,0.04,Claude 3.6S
1428,694,2122,qa,6000,5,0.85,7.660585461703256,0,0.03,Claude 3.6S
1000,528,1528,qa,200,2,0.475,7.332369205929062,1,0.03,Gemini 3
152,112,264,qa,1500,2,0.475,5.579729825986222,0,0.03,Claude 3.6S
379,328,707,code,400,4,0.725,6.56244409369372,1,0.07,Claude 3.6S
1649,804,2453,qa,3000,1,0.35,7.805474625270857,0,0.03,Claude 3.6S
5437,3000,8437,qa,6000,1,0.35,9.040500592684284,0,0.03,Claude 3.6S
1292,650,1942,reasoning,800,3,0.6,7.571988449377439,0,0.08,Claude 3.6S
793,541,1334,writing,400,4,0.725,7.196686570834349,1,0.04,Gemini 3
147,165,312,code,3000,1,0.35,5.746203190540153,0,0.07,Claude 3.6S
291,162,453,chat,800,4,0.725,6.118097198041347,0,0.0,Claude 3.6S
115,302,417,qa,3000,2,0.475,6.035481432524756,0,0.03,Claude 3.6S
68,81,149,code,800,2,0.475,5.0106352940962555,0,0.07,Claude 3.6S
189,230,419,writing,800,1,0.35,6.040254711277414,0,0.04,Claude 3.6S
225,113,338,qa,400,1,0.35,5.82600010738045,1,0.03,Claude 3.6S
213,199,412,chat,800,2,0.475,6.023447592961032,0,0.0,Claude 3.6S
436,240,676,chat,400,1,0.35,6.517671272912275,1,0.0,Claude 3.6S
290,329,619,qa,400,1,0.35,6.429719478039137,1,0.03,Claude 3.6S
1887,1304,3191,qa,200,1,0.35,8.068402958569699,1,0.03,Gemini 3
1790,664,2454,chat,1500,4,0.725,7.805882040228621,0,0.0,Claude 3.6S
4246,1557,5803,chat,6000,2,0.475,8.666302614004078,0,0.0,Claude 3.6S
1538,938,2476,code,800,1,0.35,7.814803429489359,0,0.07,Claude 3.6S
2414,864,3278,chat,1500,3,0.6,8.095293776844647,0,0.0,Claude 3.6S
884,502,1386,qa,6000,2,0.475,7.234898420314831,0,0.03,Claude 3.6S
22,189,211,reasoning,400,3,0.6,5.356586274672012,1,0.08,Claude 3.6S
1525,1139,2664,reasoning,1500,1,0.35,7.887959336599945,0,0.08,Claude 3.6S
272,240,512,chat,1500,3,0.6,6.240275845170769,0,0.0,Claude 3.6S
1373,690,2063,chat,6000,2,0.475,7.6324011266014535,0,0.0,Claude 3.6S
3281,1396,4677,chat,800,3,0.6,8.450625947144124,0,0.0,Claude 3.6S
2490,672,3162,qa,800,2,0.475,8.059276223305648,0,0.03,Claude 3.6S
1024,825,1849,chat,400,2,0.475,7.52294091807237,1,0.0,Gemini 3
1743,927,2670,writing,1500,1,0.35,7.89020821310996,0,0.04,Claude 3.6S
30,94,124,reasoning,800,4,0.725,4.828313737302301,0,0.08,Claude 3.6S
2124,648,2772,chat,800,1,0.35,7.927685045615778,0,0.0,Claude 3.6S
432,303,735,code,1500,5,0.85,6.601230118728876,0,0.07,Claude 3.6S
199,229,428,qa,1500,1,0.35,6.061456918928017,0,0.03,Claude 3.6S
93,168,261,reasoning,1500,2,0.475,5.568344503761097,0,0.08,Claude 3.6S
22,112,134,reasoning,200,3,0.6,4.90527477843843,1,0.08,Gemini 3
6920,3000,9920,reasoning,800,3,0.6,9.202409001649903,0,0.08,Gemini 3
399,300,699,reasoning,800,4,0.725,6.551080335043404,0,0.08,Claude 3.6S
218,88,306,reasoning,200,2,0.475,5.726847747587197,1,0.08,Gemini 3
1407,679,2086,reasoning,1500,1,0.35,7.643482907077201,0,0.08,Claude 3.6S
1570,1323,2893,reasoning,3000,2,0.475,7.970394907191428,0,0.08,Claude 3.6S
1989,1497,3486,chat,200,4,0.725,8.156797046675651,1,0.0,Gemini 3
127,318,445,writing,1500,1,0.35,6.100318952020064,0,0.04,Claude 3.6S
361,354,715,chat,800,3,0.6,6.573680166960646,0,0.0,Claude 3.6S
1702,1189,2891,chat,1500,1,0.35,7.969703583278655,0,0.0,Claude 3.6S
405,132,537,qa,1500,4,0.725,6.2878585601617845,0,0.03,Claude 3.6S
311,244,555,reasoning,800,1,0.35,6.320768294250582,0,0.08,Claude 3.6S
479,407,886,writing,800,3,0.6,6.787844982309579,0,0.04,Claude 3.6S
418,294,712,chat,3000,2,0.475,6.569481420414296,0,0.0,Claude 3.6S
7242,3000,10242,qa,200,2,0.475,9.234349824436535,1,0.03,Gemini 3
2268,1766,4034,code,3000,1,0.35,8.302761580704049,0,0.07,Claude 3.6S
1026,434,1460,writing,200,1,0.35,7.2868764117507,1,0.04,Gemini 3
2422,866,3288,reasoning,3000,5,0.85,8.098338846189057,0,0.08,Gemini 3
1418,411,1829,chat,400,1,0.35,7.512071245835466,1,0.0,Gemini 3
1187,776,1963,qa,200,4,0.725,7.582738488914411,1,0.03,Gemini 3
94,172,266,chat,800,1,0.35,5.58724865840025,0,0.0,Claude 3.6S
23,159,182,chat,800,2,0.475,5.2094861528414205,0,0.0,Claude 3.6S
423,347,770,writing,800,1,0.35,6.647688373563329,0,0.04,Claude 3.6S
2172,1507,3679,reasoning,200,3,0.6,8.210668031162976,1,0.08,Gemini 3
2373,1252,3625,qa,1500,1,0.35,8.195885391314796,0,0.03,Claude 3.6S
1680,423,2103,writing,800,2,0.475,7.6515955738576,0,0.04,Claude 3.6S
419,387,806,reasoning,800,1,0.35,6.693323668269948,0,0.08,Claude 3.6S
6383,3000,9383,chat,3000,1,0.35,9.14676139033331,0,0.0,Claude 3.6S
392,202,594,qa,3000,2,0.475,6.388561405545629,0,0.03,Claude 3.6S
9988,3000,12988,writing,1500,1,0.35,9.471858124407284,0,0.04,Claude 3.6S
1853,849,2702,chat,800,2,0.475,7.902117546276448,0,0.0,Claude 3.6S
763,350,1113,writing,400,1,0.35,7.015712420487229,1,0.04,Gemini 3
554,537,1091,chat,3000,3,0.6,6.9957661563048505,0,0.0,Claude 3.6S
2066,407,2473,chat,800,2,0.475,7.813591552952433,0,0.0,Claude 3.6S
1711,1261,2972,writing,3000,2,0.475,7.997326822998097,0,0.04,Claude 3.6S
449,395,844,code,1500,1,0.35,6.739336627357174,0,0.07,Claude 3.6S
2229,979,3208,code,400,5,0.85,8.073714641109856,1,0.07,Gemini 3
290,221,511,writing,800,2,0.475,6.238324625039508,0,0.04,Claude 3.6S
32,260,292,writing,3000,1,0.35,5.680172609017067,0,0.04,Claude 3.6S
131,159,290,qa,1500,3,0.6,5.673323267171492,0,0.03,Claude 3.6S
496,112,608,writing,6000,4,0.725,6.411818267709897,0,0.04,Claude 3.6S
284,265,549,code,200,1,0.35,6.309918278226516,1,0.07,Gemini 3
1966,1257,3223,writing,1500,4,0.725,8.078378103626518,0,0.04,Claude 3.6S
427,317,744,chat,800,4,0.725,6.61338421837956,0,0.0,Claude 3.6S
205,200,405,writing,3000,3,0.6,6.0063531596017325,0,0.04,Claude 3.6S
7248,3000,10248,code,3000,4,0.725,9.234935418831563,0,0.07,Claude 3.6S
348,261,609,writing,3000,2,0.475,6.413458957167356,0,0.04,Claude 3.6S
824,300,1124,chat,400,3,0.6,7.025538314638521,1,0.0,Gemini 3
53,213,266,writing,200,3,0.6,5.58724865840025,1,0.04,Gemini 3
364,365,729,chat,3000,1,0.35,6.593044534142437,0,0.0,Claude 3.6S
59,37,96,code,3000,3,0.6,4.574710978503383,0,0.07,Claude 3.6S
1898,723,2621,chat,400,2,0.475,7.8716926643236445,1,0.0,Gemini 3
465,427,892,reasoning,1500,2,0.475,6.794586580876499,0,0.08,Claude 3.6S
1621,1164,2785,code,800,1,0.35,7.932362154339751,0,0.07,Claude 3.6S
8428,2781,11209,chat,800,2,0.475,9.324561516066206,0,0.0,Gemini 3
2441,931,3372,writing,800,3,0.6,8.12355783506165,0,0.04,Claude 3.6S
316,323,639,chat,6000,1,0.35,6.461468176353717,0,0.0,Claude 3.6S
163,74,237,chat,1500,2,0.475,5.472270673671474,0,0.0,Claude 3.6S
363,392,755,qa,1500,4,0.725,6.6280413761795325,0,0.03,Claude 3.6S
396,333,729,writing,1500,3,0.6,6.593044534142437,0,0.04,Claude 3.6S
1831,1251,3082,chat,800,3,0.6,8.03365842788615,0,0.0,Claude 3.6S
446,437,883,writing,800,4,0.725,6.784457062637643,0,0.04,Claude 3.6S
2075,1101,3176,writing,800,3,0.6,8.063692634269517,0,0.04,Claude 3.6S
1204,490,1694,reasoning,6000,2,0.475,7.43543801981455,0,0.08,Claude 3.6S
128,44,172,chat,400,2,0.475,5.153291594497778,1,0.0,Claude 3.6S
306,331,637,qa,200,5,0.85,6.45833828334479,1,0.03,Gemini 3
2078,889,2967,reasoning,800,2,0.475,7.995643604287271,0,0.08,Claude 3.6S
2378,553,2931,qa,1500,1,0.35,7.983440063006542,0,0.03,Claude 3.6S
258,222,480,code,3000,2,0.475,6.175867270105761,0,0.07,Claude 3.6S
659,358,1017,chat,1500,1,0.35,6.925595197110468,0,0.0,Claude 3.6S
433,257,690,chat,800,1,0.35,6.538139823767669,0,0.0,Claude 3.6S
155,260,415,chat,3000,2,0.475,6.030685260261263,0,0.0,Claude 3.6S
247,115,362,qa,800,3,0.6,5.8944028342648505,0,0.03,Claude 3.6S
1904,1399,3303,reasoning,1500,3,0.6,8.102889134640868,0,0.08,Claude 3.6S
229,263,492,writing,400,3,0.6,6.20050917404269,1,0.04,Claude 3.6S
154,98,252,writing,6000,3,0.6,5.53338948872752,0,0.04,Claude 3.6S
2301,1206,3507,writing,800,1,0.35,8.162801353492073,0,0.04,Claude 3.6S
